Band 01,Band 02,Band 03,Band 04,Band 05,Band 06,Band 07,Band 08,Band 8A,Band 09,Band 11,Band 12,Crop ID
0.1059999987,0.0957999974,0.1262000054,0.11240000280000001,0.1519999951,0.2694000006,0.32199999690000003,0.295599997,0.3404000103,0.2446999997,0.181400001,0.3391000032,0.0
0.0847000033,0.0763999969,0.09520000220000001,0.0975999981,0.1613000035,0.31830000880000003,0.3876999915,0.3639999926,0.37450000640000003,0.27669999,0.1879999936,0.400000006,0.0
0.0127999997,0.010300000200000001,0.0414000005,0.026499999700000002,0.07599999760000001,0.2169999927,0.27340000870000003,0.266200006,0.2696999907,0.1404999942,0.0784000009,0.2971000075,0.0
0.1469999999,0.1726000011,0.15399999920000002,0.1482000053,0.2031999975,0.3287999928,0.3707999885,0.3497999907,0.440200001,0.2795000076,0.2296999991,0.3883000016,0.0
0.1005000025,0.1340000033,0.1871999949,0.1677999943,0.19910000260000002,0.2953000069,0.3278999925,0.34860000010000003,0.483799994,0.2502999902,0.18549999590000002,0.33539998530000004,0.0
0.0467000008,0.0181000009,0.047299999700000005,0.0289999992,0.0694999993,0.2371000051,0.2890999913,0.2964999974,0.32839998600000003,0.1547999978,0.07620000090000001,0.30869999530000003,0.0
0.0822999999,0.09960000220000001,0.1306000054,0.1137999967,0.1569000036,0.290899992,0.3357000053,0.3382000029,0.3497000039,0.2440000027,0.1608999968,0.3574000001,0.0
0.1071000025,0.1381999999,0.1526000053,0.1301999986,0.17829999330000001,0.3158999979,0.3673000038,0.3628999889,0.3786999881,0.26480001210000004,0.17749999460000002,0.3826999962,0.0
0.11209999770000001,0.0732999966,0.1098000035,0.11240000280000001,0.15569999810000001,0.27610000970000004,0.3258999884,0.2779999971,0.4099000096,0.2389000058,0.1834000051,0.3393999934,0.0
0.0822999999,0.09539999810000001,0.1272000074,0.10719999670000001,0.1569000036,0.290899992,0.3357000053,0.3285999894,0.3497000039,0.2440000027,0.1608999968,0.3574000001,0.0
0.0822999999,0.0930000022,0.12399999800000001,0.1005999967,0.147300005,0.2856000066,0.3289000094,0.33100000020000003,0.3497000039,0.24160000680000002,0.1670999974,0.3465000093,0.0
0.0716999993,0.061799999300000005,0.08139999960000001,0.0693999976,0.1334999949,0.2933000028,0.3508999944,0.3424000144,0.3693999946,0.22650000450000002,0.1439999938,0.3700000048,0.0
0.1469999999,0.1645999998,0.1421999931,0.1462000012,0.1869000047,0.31069999930000003,0.3587000072,0.33100000020000003,0.440200001,0.2696999907,0.2073999941,0.3704999983,0.0
0.0869000033,0.0989999995,0.1299999952,0.11439999940000001,0.1614000052,0.3019999862,0.3454000056,0.3513999879,0.3589000106,0.2452999949,0.1573999971,0.35929998760000004,0.0
